Name,Inspire link,Institution,Status,Timestamp
E.Hatefi,http://inspirehep.net/search?p=exactauthor%3AE.Hatefi.1,"Masaryk U., Brno",Declined,2013-06-27 00:00:00
P.Roig,http://inspirehep.net/search?p=exactauthor%3AP.Roig.1+,"IF-UNAM, DF, Mexico",Accepted,2013-04-26 00:00:00
Jessica L. Cook,https://inspirehep.net/search?p=exactauthor%3AJ.L.Cook.1+exactauthor%3A%22Cook%2C+Jessica+L.%22,Arizona State,Accepted,2013-04-15 00:00:00
Kristopher Healey,http://inspirehep.net/search?ln=en&p=find+a+kristopher+healey+or+a+k.j.+healey&of=hb&action_search=Search,U. of Turin,Accepted,2013-04-15 00:00:00
T.Erler,http://inspirehep.net/search?p=exactauthor%3AT.Erler.1,LMU Munich,Accepted,2013-04-01 00:00:00
F.Saracco,http://inspirehep.net/search?p=exactauthor%3AF.Saracco.2+,Witwatersrand,Declined,2013-03-27 00:00:00
E.Hatefi,http://inspirehep.net/search?p=exactauthor%3AE.Hatefi.1,Witwatersrand,Declined,2013-03-06 00:00:00
U.Aydemir,http://inspirehep.net/search?p=exactauthor%3AU.Aydemir.1+,Uppsala,Accepted,2013-02-27 00:00:00
Yang-Ting Chien,http://inspirehep.net/search?ln=en&ln=en&p=Yang-Ting+Chien&of=hb&action_search=Search&sf=&so=d&rm=&rg=25&sc=0,LANL,Accepted,2013-02-25 00:00:00
A.Hornig,http://inspirehep.net/search?p=author%3AA.Hornig.1+,LANL,"Director's Postdoctoral Fellowship, Accepted",2013-02-25 00:00:00
M.D.Kistler,http://inspirehep.net/search?p=author%3AM.D.Kistler.1+,Stanford,"KIPAC Fellowship, Accepted",2013-02-18 00:00:00
N.Sircar,http://inspirehep.net/search?p=exactauthor%3AN.Sircar.1+,Witwatersrand,Declined,2013-02-12 00:00:00
A.Joseph,http://inspirehep.net/search?p=exactauthor%3AA.Joseph.3+,Bonn (HIKSP),Declined,2013-02-10 00:00:00
A.Joseph,http://inspirehep.net/search?p=exactauthor%3AA.Joseph.3+,DESY,Accepted,2013-02-10 00:00:00
N.Sircar,http://inspirehep.net/search?p=exactauthor%3AN.Sircar.1+,"ICTS at USTC, Hefei, China",Declined,2013-02-10 00:00:00
N.Sircar,http://inspirehep.net/search?p=exactauthor%3AN.Sircar.1+,Tel Aviv U.,Accepted,2013-02-10 00:00:00
T.Morita,http://inspirehep.net/search?p=exactauthor%3AT.Morita.1+,U. of Kentucky,Offered,2013-02-09 00:00:00
S.Ziama,http://inspirehep.net/search?p=exactauthor%3AS.Ziama.1+,U. of Kentucky,Offered,2013-02-09 00:00:00
A.Deser,http://inspirehep.net/search?p=author%3AA.Deser.1+,Hannover,Accepted,2013-02-06 00:00:00
Yuzhi Liu,http://inspirehep.net/search?ln=en&ln=en&p=find+ea+liu%2C+yuzhi&of=hb&action_search=Search&sf=&so=d&rm=&rg=25&sc=0,U. of Colorado Boulder,Accepted,2013-02-04 00:00:00
D.Musso,http://inspirehep.net/search?p=author%3AD.Musso.1+,"ICTP, Trieste",Accepted,2013-01-31 00:00:00
S.Guttenberg,http://inspirehep.net/search?p=author%3AS.Guttenberg.1+,Texas A&M,Accepted,2013-01-31 00:00:00
S.Ozonder,http://inspirehep.net/search?p=author%3AS.Ozonder.1+,"INT, U. of Washington",Accepted,2013-01-29 00:00:00
S.Ozonder,http://inspirehep.net/search?p=author%3AS.Ozonder.1+,U. of Santiago / CERN,Declined,2013-01-29 00:00:00
K.A.Sohrabi,http://inspirehep.net/search?p=author%3AK.A.Sohrabi.1+,Bern,Offered,2013-01-28 00:00:00
I.G.Zadeh,http://inspirehep.net/search?p=author%3AI.G.Zadeh.1+,Brandeis,Accepted,2013-01-28 00:00:00
I.G.Zadeh,http://inspirehep.net/search?p=author%3AI.G.Zadeh.1+,Harish-Chandra Research Institute,Declined,2013-01-28 00:00:00
Z.B.Kang,http://inspirehep.net/search?p=author%3AZ.B.Kang.1+,LANL,"Oppenheimer, Accepted",2013-01-28 00:00:00
D.Fernandez,http://inspirehep.net/search?p=author%3AD.Fernandez.2+,Texas A&M,Declined,2013-01-23 00:00:00
X.O.Camanho,http://inspirehep.net/search?p=author%3AX.O.Camanho.1+,AEI Potsdam,Accepted,2013-01-22 00:00:00
B.Thomas,http://inspirehep.net/search?p=author%3AB.Thomas.1+,Carleton,Accepted,2013-01-22 00:00:00
D.Andriot,http://inspirehep.net/search?p=author%3AD.Andriot.1+,Hong Kong IAS,Offered,2013-01-22 00:00:00
P.Panci,http://inspirehep.net/search?p=author%3AP.Panci.1+,Institut d'Astrophysique de Paris,Accepted,2013-01-22 00:00:00
Joseph Bramante,http://inspirehep.net/search?ln=en&ln=en&p=Joseph+Bramante&of=hb&action_search=Search&sf=&so=d&rm=&rg=25&sc=0,Notre Dame,Accepted,2013-01-22 00:00:00
J.Unwin,http://inspirehep.net/search?p=author%3AJ.Unwin.1+,Notre Dame,Accepted,2013-01-22 00:00:00
T.Misumi,http://inspirehep.net/search?p=author%3AT.Misumi.1+,RIKEN/BNL,Accepted,2013-01-22 00:00:00
B.Sahoo,http://inspirehep.net/search?p=author%3AB.Sahoo.1+exactauthor%3A%22Sahoo%2C+Bindusar%22,Texas A&M,Accepted,2013-01-22 00:00:00
J.Unwin,http://inspirehep.net/search?p=author%3AJ.Unwin.1+,U. of Michigan,Declined,2013-01-22 00:00:00
M.Gabella,http://inspirehep.net/search?p=author%3AM.Gabella.1+,Hamburg,Offered,2013-01-20 00:00:00
Kuver Sinha,http://inspirehep.net/search?ln=en&ln=en&p=Kuver+Sinha&of=hb&action_search=Search&sf=&so=d&rm=&rg=25&sc=0,Syracuse,Offered,2013-01-20 00:00:00
T.Kalaydzhyan,http://inspirehep.net/search?p=author%3AT.Kalaydzhyan.1+,Stony Brook,Accepted,2013-01-19 00:00:00
A.B.Royston,http://inspirehep.net/search?p=author%3AA.B.Royston.1+,Texas A&M,Accepted,2013-01-19 00:00:00
Eoin O. Colgain,http://inspirehep.net/search?ln=en&p=Eoin+O+Colgain&of=hb&action_search=Search,U. of Texas A&M,Offered,2013-01-19 00:00:00
D.Andriot,http://inspirehep.net/search?p=author%3AD.Andriot.1+,AEI Potsdam,Offered,2013-01-18 00:00:00
T.T.Ishii,http://inspirehep.net/search?p=author%3AT.T.Ishii.1+,Crete,Accepted,2013-01-18 00:00:00
G.Ovanesyan,http://inspirehep.net/search?p=author%3AG.Ovanesyan.1+,UMass Amherst,Accepted,2013-01-18 00:00:00
B.Shakya,http://inspirehep.net/search?p=author%3AB.Shakya.1+,Carleton,Declined,2013-01-17 00:00:00
B.Shakya,http://inspirehep.net/search?p=author%3AB.Shakya.1+,CEA-Saclay,Declined,2013-01-17 00:00:00
J.Scholtz,http://inspirehep.net/search?p=author%3AJ.Scholtz.1+exactauthor%3A%22Scholtz%2C+Jakub%22,Harvard,Offered,2013-01-17 00:00:00
B.Shakya,http://inspirehep.net/search?p=author%3AB.Shakya.1+,IPMU,Declined,2013-01-17 00:00:00
P.H.Huang,http://inspirehep.net/search?p=author%3AP.H.Huang.1+exactauthor%3A%22Huang%2C+Peisi%22,U. of Chicago / ANL,Accepted,2013-01-17 00:00:00
B.Shakya,http://inspirehep.net/search?p=author%3AB.Shakya.1+,U. of Michigan,Offered,2013-01-17 00:00:00
D.Andriot,http://inspirehep.net/search?p=author%3AD.Andriot.1+,"U. of Texas, A&M",Offered,2013-01-17 00:00:00
Hiren Patel,http://inspirehep.net/search?ln=en&p=Hiren+Patel&of=hb&action_search=Search,MPI Heidelberg,Accepted,2013-01-16 00:00:00
P.Patalong,http://inspirehep.net/search?p=author%3AP.Patalong.1+,Utrecht,Declined,2013-01-16 00:00:00
Callum Quigley,http://inspirehep.net/search?ln=en&p=Callum+Quigley&of=hb&action_search=Search,Alberta (Math),"PIMS, Accepted",2013-01-15 00:00:00
Z.U.Khandker,http://inspirehep.net/search?p=author%3AZ.U.Khandker.1+,Boston U.,Accepted,2013-01-15 00:00:00
F.Sala,http://inspirehep.net/search?p=author%3AF.Sala.2+,CEA-Saclay,Accepted,2013-01-15 00:00:00
Shamik Banerjee,http://inspirehep.net/search?ln=en&p=Shamik+Banerjee&of=hb&action_search=Search,Ecole Normale Superieure,"Philippe Meyer, Offered",2013-01-15 00:00:00
F.Sala,http://inspirehep.net/search?p=author%3AF.Sala.2+,IFT Madrid,Declined,2013-01-15 00:00:00
M.Zumalacarregui,http://inspirehep.net/search?p=author%3AM.Zumalacarregui.1+,ITP Heidelberg,Offered,2013-01-15 00:00:00
H.Kitamoto,http://inspirehep.net/search?p=author%3AH.Kitamoto.1,Seoul National U.,Accepted,2013-01-15 00:00:00
